method,mode,angle_state_label,physical_role_candidate,event_start_time_s,event_end_time_s,event_duration_s,peak_time_s,candidate_window_count,peak_anomaly_score,mean_anomaly_score,dominant_deviation_feature,global_peak_frequency_hz,representative_local_frequency_hz,local_frequency_low_hz,local_frequency_high_hz,interpretation
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,208.5,212.495,3.9950000000000045,211.5,5,6.7449075947659525,5.530824227708081,local_peak_frequency_hz,39.90785813630041,35.5,34.5,36.0,anomaly_candidate_not_confirmed_fault
STVMD,IMF6,stable_10deg,background_dynamic_mode,209.0,212.495,3.4950000000000045,210.0,4,4.046944556859572,4.046944556859572,local_peak_frequency_hz,59.97479137691238,60.0,60.0,60.0,anomaly_candidate_not_confirmed_fault
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,212.0,217.995,5.9950000000000045,213.0,9,6.7449075947659525,6.070416835289357,local_peak_frequency_hz,39.90785813630041,35.0,34.5,35.5,anomaly_candidate_not_confirmed_fault
SVMD,IMF8,stable_10deg,background_dynamic_mode,212.0,214.495,2.4950000000000045,213.5,2,6.070416835289357,5.395926075812762,local_peak_frequency_hz,72.63125869262865,68.0,67.5,68.5,anomaly_candidate_not_confirmed_fault
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,217.0,219.995,2.9950000000000045,218.0,3,6.7449075947659525,5.845586582130491,local_peak_frequency_hz,39.90785813630041,35.0,34.5,36.0,anomaly_candidate_not_confirmed_fault
STVMD,IMF6,stable_10deg,background_dynamic_mode,217.5,226.495,8.995000000000005,218.5,15,4.046944556859572,4.046944556859572,local_peak_frequency_hz,59.97479137691238,60.0,60.0,60.0,anomaly_candidate_not_confirmed_fault
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,219.0,229.995,10.995000000000005,220.0,19,6.070416835289357,5.75092121237939,local_peak_frequency_hz,39.90785813630041,35.0,35.0,36.0,anomaly_candidate_not_confirmed_fault
VMD,IMF5,stable_10deg,background_dynamic_mode,219.5,221.995,2.4950000000000045,220.5,2,4.0,4.0,local_peak_frequency_hz,39.90785813630041,39.0,39.0,39.0,anomaly_candidate_not_confirmed_fault
AVMD,IMF5,stable_10deg,background_dynamic_mode,221.0,223.495,2.4950000000000045,222.0,2,3.628752020485354,3.5868958468593206,envelope_mean_nm,59.97479137691238,60.0,60.0,60.0,anomaly_candidate_not_confirmed_fault
VMD,IMF7,stable_10deg,background_dynamic_mode,221.0,224.495,3.4950000000000045,222.5,4,4.040186101580038,3.9083088099979744,envelope_mean_nm,59.97479137691238,60.0,60.0,60.0,anomaly_candidate_not_confirmed_fault
SVMD,IMF8,stable_10deg,background_dynamic_mode,222.5,224.995,2.4950000000000045,223.5,2,4.721435316336167,4.721435316336167,local_peak_frequency_hz,72.63125869262865,68.5,68.5,68.5,anomaly_candidate_not_confirmed_fault
IOVMD,IMF7,stable_10deg,background_dynamic_mode,223.0,225.995,2.9950000000000045,224.0,3,6.0,6.0,local_peak_frequency_hz,39.90785813630041,38.5,38.5,38.5,anomaly_candidate_not_confirmed_fault
VMD,IMF5,stable_10deg,background_dynamic_mode,223.0,225.995,2.9950000000000045,224.0,3,6.0,6.0,local_peak_frequency_hz,39.90785813630041,38.5,38.5,38.5,anomaly_candidate_not_confirmed_fault
STVMD,IMF6,stable_10deg,background_dynamic_mode,226.0,228.495,2.4950000000000045,227.0,2,4.046944556859572,3.8783218669904227,local_peak_frequency_hz,59.97479137691238,59.75,59.5,60.0,anomaly_candidate_not_confirmed_fault
SVMD,IMF8,stable_10deg,background_dynamic_mode,226.0,228.995,2.9950000000000045,227.0,3,4.721435316336167,4.721435316336167,local_peak_frequency_hz,72.63125869262865,68.5,68.5,68.5,anomaly_candidate_not_confirmed_fault
