segment_id,angle_state_label,cycle_index_within_state,target_frequency_hz,window_start_time_s,window_end_time_s,center_time_s,band_power_nm2,band_rms_nm,local_peak_frequency_hz
43deg_2,stable_43deg,2,60.0,170.7,172.695,171.6975,0.0004703201833724338,0.021686866610288215,60.15625
43deg_2,stable_43deg,2,38.5,171.2,173.195,172.1975,0.000374567693864368,0.01935375141579451,39.84375
43deg_2,stable_43deg,2,60.0,171.2,173.195,172.1975,0.0005622846566506876,0.023712542180261642,60.15625
43deg_2,stable_43deg,2,38.5,171.7,173.695,172.6975,0.0002565338695853563,0.016016674735579675,39.84375
43deg_2,stable_43deg,2,60.0,171.7,173.695,172.6975,0.0007278513939980386,0.026978721133479225,60.15625
43deg_2,stable_43deg,2,38.5,172.2,174.195,173.1975,0.00017402058927213585,0.013191686369533497,36.71875
43deg_2,stable_43deg,2,60.0,172.2,174.195,173.1975,0.0006073278026125739,0.02464402164040143,60.15625
43deg_2,stable_43deg,2,38.5,172.7,174.695,173.6975,0.0002120803021230714,0.014562977103706213,36.71875
43deg_2,stable_43deg,2,60.0,172.7,174.695,173.6975,0.0007562066707875582,0.02749921218485283,60.15625
43deg_2,stable_43deg,2,38.5,173.2,175.195,174.1975,0.00022087113753803755,0.014861734001725288,39.84375
43deg_2,stable_43deg,2,60.0,173.2,175.195,174.1975,0.0005944324398470323,0.024380985210754554,60.15625
43deg_2,stable_43deg,2,38.5,173.7,175.695,174.6975,0.0005387243334218448,0.02321043587315509,38.28125
43deg_2,stable_43deg,2,60.0,173.7,175.695,174.6975,0.0004254199614645156,0.02062571117475748,60.15625
43deg_2,stable_43deg,2,38.5,174.2,176.195,175.1975,0.0004616941842583688,0.021487070164598263,39.0625
43deg_2,stable_43deg,2,60.0,174.2,176.195,175.1975,0.0003009574883871462,0.017348126365321015,57.8125
43deg_2,stable_43deg,2,38.5,174.7,176.695,175.6975,0.000487892849893145,0.022088296672517438,38.28125
43deg_2,stable_43deg,2,60.0,174.7,176.695,175.6975,0.00032882536092577097,0.018133542426282047,60.15625
