time,CH1
26:30.089,1549.879713
26:30.093,1550.003118
26:30.099,1550.047195
26:30.125,1550.072842
26:30.133,1550.161008
26:30.133,1549.967056
26:30.134,1549.925387
26:30.134,1549.927791
26:30.135,1549.789176
26:30.135,1549.859682
26:30.139,1549.689036
26:30.144,1549.900546
26:30.148,1549.905354
26:30.153,1550.016741
26:30.159,1550.136962
26:30.187,1549.981480
26:30.191,1550.047195
26:30.192,1549.939009
26:30.192,1549.979076
26:30.194,1549.910162
26:30.194,1549.817217
26:30.194,1549.862887
26:30.199,1549.848465
26:30.204,1549.879713
26:30.208,1549.998309
26:30.214,1549.940612
26:30.218,1549.963049
26:30.250,1549.939810
26:30.255,1549.875707
26:30.255,1550.037578
26:30.256,1549.816416
26:30.256,1549.918976
26:30.257,1549.793983
26:30.257,1549.834043
26:30.259,1549.971063
26:30.264,1549.862887
26:30.269,1549.969460
26:30.274,1549.887726
26:30.278,1549.951830
26:30.308,1549.973467
26:30.313,1549.886123
26:30.313,1549.963049
26:30.314,1549.875707
26:30.314,1549.852471
26:30.315,1549.964652
26:30.315,1549.834844
26:30.319,1549.903752
26:30.324,1549.919777
26:30.329,1549.878111
26:30.333,1549.945420
26:30.364,1549.726687
26:30.369,1549.726687
26:30.369,1549.945420
26:30.372,1549.994302
26:30.372,1550.006323
26:30.373,1549.876508
26:30.373,1549.953433
26:30.374,1549.855676
26:30.378,1549.908559
26:30.384,1549.955837
26:30.389,1549.846061
26:30.393,1549.830838
26:30.399,1549.891732
26:30.430,1549.966255
26:30.434,1550.068033
26:30.435,1549.922181
26:30.435,1549.966255
26:30.437,1549.992700
26:30.437,1549.849266
26:30.438,1549.930996
26:30.439,1549.814814
26:30.443,1549.892534
26:30.449,1549.714671
26:30.454,1549.973467
26:30.458,1550.080856
26:30.485,1549.878912
26:30.492,1549.914168
26:30.493,1549.899745
26:30.493,1549.992700
26:30.494,1549.931797
26:30.494,1549.846862
26:30.495,1549.928592
26:30.499,1549.890130
26:30.503,1549.819621
26:30.509,1549.916572
26:30.514,1549.793983
26:30.519,1549.929393
26:30.545,1549.967857
26:30.550,1549.913367
26:30.550,1550.031167
26:30.551,1549.797188
26:30.551,1549.966255
26:30.552,1549.883720
26:30.553,1549.963049
26:30.558,1549.936605
26:30.563,1549.810007
26:30.569,1549.878912
26:30.574,1549.888527
26:30.605,1550.014337
26:30.612,1549.894136
26:30.613,1549.956638
26:30.613,1549.927791
26:30.614,1549.951830
26:30.614,1549.910162
26:30.615,1550.049600
26:30.615,1549.814814
26:30.618,1549.908559
26:30.624,1549.845260
26:30.629,1549.867694
26:30.633,1549.866092
26:30.666,1549.644979
26:30.671,1549.918175
26:30.671,1549.765942
26:30.673,1550.001515
26:30.674,1550.019146
26:30.675,1549.966255
26:30.676,1549.959844
26:30.676,1549.922181
26:30.678,1549.886123
26:30.684,1549.846862
26:30.689,1549.612939
26:30.694,1549.676219
26:30.698,1549.752323
26:30.733,1549.801193
26:30.738,1550.017543
26:30.739,1549.824428
26:30.740,1550.031968
26:30.740,1549.860483
26:30.741,1549.905354
26:30.741,1549.932598
26:30.742,1549.713068
26:30.744,1549.766743
26:30.748,1549.608934
26:30.754,1549.864489
26:30.759,1549.918976
26:30.763,1549.882117
26:30.791,1549.872502
26:30.797,1549.956638
